fixed metal distribution -- based on Grevesse & Sauval (1998) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          36    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   5.150  -0.166  -0.149  -0.131  -0.112  -0.093  -0.072  -0.049  -0.025   0.005   0.040   0.084   0.141   0.213   0.303   0.412   0.542   0.693   0.865   1.056   1.264   1.487   1.720   1.962   2.208   2.455   2.697   2.933   3.157   3.369   3.567   3.752   3.920   4.071   4.203   4.317   4.409   4.480
   5.175  -0.158  -0.137  -0.115  -0.092  -0.068  -0.043  -0.016   0.014   0.048   0.087   0.135   0.194   0.266   0.354   0.459   0.585   0.731   0.897   1.082   1.285   1.502   1.731   1.968   2.210   2.452   2.688   2.916   3.131   3.334   3.523   3.697   3.858   4.003   4.132   4.244   4.337   4.410
   5.200  -0.159  -0.134  -0.108  -0.082  -0.054  -0.024   0.009   0.044   0.084   0.129   0.181   0.243   0.317   0.404   0.508   0.630   0.770   0.931   1.109   1.306   1.518   1.742   1.974   2.210   2.446   2.675   2.895   3.101   3.293   3.472   3.637   3.790   3.930   4.057   4.168   4.262   4.339
   5.225  -0.171  -0.143  -0.114  -0.083  -0.050  -0.015   0.022   0.063   0.109   0.159   0.217   0.284   0.361   0.451   0.554   0.673   0.809   0.964   1.136   1.327   1.532   1.751   1.977   2.208   2.438   2.659   2.870   3.065   3.247   3.415   3.571   3.717   3.853   3.978   4.090   4.185   4.265
   5.250  -0.191  -0.163  -0.131  -0.096  -0.059  -0.019   0.024   0.070   0.121   0.178   0.242   0.315   0.397   0.490   0.594   0.712   0.844   0.994   1.161   1.345   1.545   1.758   1.978   2.203   2.426   2.639   2.841   3.026   3.197   3.354   3.502   3.642   3.774   3.898   4.011   4.108   4.190
   5.275  -0.223  -0.194  -0.161  -0.123  -0.082  -0.037   0.012   0.063   0.120   0.182   0.252   0.331   0.419   0.516   0.623   0.742   0.873   1.019   1.180   1.359   1.552   1.759   1.975   2.194   2.409   2.615   2.808   2.982   3.143   3.292   3.431   3.566   3.695   3.818   3.931   4.031   4.117
   5.300  -0.260  -0.232  -0.199  -0.159  -0.115  -0.066  -0.013   0.043   0.105   0.173   0.249   0.333   0.427   0.529   0.641   0.762   0.893   1.037   1.194   1.368   1.555   1.757   1.966   2.179   2.389   2.586   2.771   2.936   3.088   3.228   3.360   3.490   3.616   3.738   3.852   3.954   4.044
   5.325  -0.301  -0.275  -0.242  -0.203  -0.158  -0.107  -0.052   0.008   0.075   0.148   0.229   0.320   0.419   0.527   0.644   0.768   0.902   1.046   1.201   1.371   1.553   1.749   1.952   2.159   2.363   2.553   2.730   2.888   3.031   3.164   3.290   3.416   3.539   3.660   3.774   3.877   3.971
   5.350  -0.341  -0.318  -0.287  -0.250  -0.206  -0.155  -0.099  -0.037   0.033   0.110   0.197   0.292   0.397   0.511   0.633   0.763   0.901   1.046   1.201   1.368   1.546   1.737   1.934   2.135   2.332   2.517   2.687   2.837   2.974   3.101   3.222   3.344   3.464   3.583   3.698   3.802   3.898
   5.375  -0.375  -0.355  -0.328  -0.295  -0.254  -0.207  -0.152  -0.090  -0.019   0.061   0.151   0.251   0.361   0.481   0.610   0.745   0.888   1.036   1.193   1.359   1.534   1.720   1.912   2.107   2.298   2.477   2.642   2.786   2.917   3.039   3.156   3.274   3.392   3.510   3.624   3.729   3.826
